"WORD","FREQ"
"the",731974
"to",399564
"and",380236
"a",352861
"of",314801
"in",243994
"i",214427
"that",157535
"is",152086
"for",151083
"it",128173
"on",113488
"you",107291
"with",107193
"was",98856
"at",81010
"this",79215
"as",76851
"my",76317
"have",75631
"be",74806
"but",70968
"are",68609
"he",68509
"we",58685
"from",58531
"not",57633
"by",50718
"so",50375
"they",49176
"said",49083
"or",47972
"his",47236
"all",45560
"an",44981
"will",44121
"me",42824
"about",42739
"one",41473
"out",40659
"up",39944
"has",39578
"who",38431
"just",37853
"when",37762
"what",36391
"had",36355
"if",36336
"your",36203
"more",35642
"like",34228
"can",33764
"her",32919
"do",31326
"there",31291
"their",30686
"would",30248
"some",29594
"time",29502
"she",29415
"been",28352
"were",27900
"our",27703
"get",27178
"no",27015
"new",25721
"them",24118
"which",23486
"now",23475
"people",23198
"how",22831
"it's",22248
"than",21148
"us",21044
"good",20999
"day",20862
"into",20491
"also",20387
"first",20298
"after",19995
"other",19835
"know",19813
"then",18747
"i'm",18653
"its",18652
"only",18534
"back",18525
"him",18280
"make",18248
"year",18134
"two",18122
"see",18029
"because",17843
"over",17778
"last",17672
"could",17505
"love",17382
"think",17226
"even",16748
"go",16546
"much",16328
"am",16236
"going",16013
"way",15700
"years",15285
"well",15155
"really",15010
"don't",14574
"most",14313
"work",14283
"those",14083
"many",14065
"want",14042
"did",13948
"any",13931
"too",13784
"where",13712
"got",13516
"great",13510
"here",13303
"still",13299
"very",13186
"before",13138
"these",12874
"being",12733
"off",12724
"made",12583
"right",12550
"need",12211
"little",12188
"down",12116
"say",12075
"life",11986
"while",11957
"may",11865
"home",11687
"through",11657
"take",11500
"today",11447
"state",10881
"should",10832
"things",10803
"next",10752
"school",10542
"never",10452
"around",10354
"come",10212
"–",10170
"something",10088
"every",10025
"week",9845
"another",9758
"best",9703
"long",9550
"why",9427
"three",9248
"world",9184
"few",9180
"night",9035
"since",8959
"always",8908
"city",8885
"own",8668
"look",8651
"such",8522
"it’s",8418
"game",8407
"again",8325
"same",8266
"place",8205
"each",8092
"better",8040
"man",8032
"thanks",8027
"use",7986
"that's",7970
"lot",7952
"big",7935
"does",7849
"find",7818
"thing",7741
"says",7725
"feel",7700
"part",7683
"until",7659
"show",7591
"end",7565
"—",7550
"days",7514
"both",7510
"sure",7425
"help",7385
"house",7357
"keep",7263
"family",7192
"might",7156
"though",7048
"put",7018
"give",6975
"getting",6778
"found",6774
"used",6771
"book",6760
"against",6724
"team",6707
"old",6690
"thought",6675
"can't",6674
"happy",6665
"million",6607
"went",6582
"pm",6567
"ever",6537
"didn't",6498
"start",6444
"during",6425
"without",6386
"season",6377
"high",6363
"percent",6358
"doing",6281
"play",6225
"enough",6211
"away",6146
"between",6128
"i've",6086
"hope",6076
"top",6075
"under",6070
"rt",6067
"money",6040
"times",6029
"left",5985
"county",5970
"second",5962
"let",5905
"done",5813
"friends",5782
"told",5773
"looking",5760
"don’t",5746
"free",5742
"set",5720
"came",5701
"having",5677
"st",5616
"least",5596
"different",5595
"point",5579
"read",5574
"u",5565
"public",5549
"god",5548
"i’m",5544
"business",5540
"story",5518
"already",5463
"making",5416
"tell",5407
"must",5385
"room",5370
"th",5365
"yet",5349
"hard",5331
"once",5331
"called",5308
"actually",5241
"job",5207
"everyone",5206
"someone",5206
"live",5194
"took",5171
"pretty",5163
"started",5159
"company",5154
"makes",5148
"children",5146
"lol",5137
"trying",5074
"food",5073
"try",5038
"everything",5014
"real",5006
"including",4994
"morning",4991
"police",4982
"call",4969
"head",4968
"wanted",4963
"course",4931
"you're",4899
"run",4891
"four",4877
"fun",4856
"bad",4850
"far",4846
"working",4823
"open",4804
"past",4796
"able",4764
"bit",4702
"later",4699
"anything",4684
"ago",4682
"kids",4651
"nothing",4621
"small",4617
"follow",4573
"case",4526
"month",4519
"water",4507
"change",4498
"kind",4481
"others",4472
"coming",4459
"hit",4435
"myself",4433
"according",4427
"along",4425
"yes",4411
"believe",4405
"less",4388
"together",4385
"tonight",4377
"heart",4376
"maybe",4375
"post",4352
"name",4341
"white",4334
"line",4328
"please",4328
"however",4325
"president",4306
"he's",4305
"person",4304
"win",4302
"care",4281
"side",4279
"black",4270
"early",4264
"thank",4256
"nice",4249
"music",4243
"group",4236
"five",4222
"center",4219
"hours",4206
"asked",4185
"almost",4183
"using",4166
"stop",4151
"local",4150
"doesn't",4149
"we're",4149
"government",4133
"car",4125
"former",4123
"oh",4095
"health",4080
"friday",4062
"full",4060
"minutes",4059
"office",4018
"law",4012
"i'll",4000
"blog",3997
"several",3978
"weeks",3966
"party",3942
"add",3920
"american",3915
"number",3914
"taking",3856
"probably",3840
"there's",3840
"months",3811
"fact",3806
"news",3805
"women",3801
"national",3794
"saw",3793
"soon",3792
"young",3757
"half",3753
"become",3749
"park",3736
"community",3719
"remember",3713
"lost",3709
"wait",3706
"comes",3705
"mind",3692
"students",3683
"support",3656
"anyone",3632
"true",3629
"board",3623
"area",3621
"often",3601
"plan",3601
"idea",3598
"power",3594
"check",3583
"special",3574
"weekend",3547
"information",3545
"whole",3541
"saying",3535
"books",3517
"country",3517
"behind",3504
"program",3498
"face",3481
"whether",3477
"street",3472
"talk",3472
"s",3470
"officials",3465
"seen",3455
"monday",3453
"couple",3449
"girl",3438
"large",3437
"class",3431
"writing",3431
"share",3428
"games",3418
"friend",3401
"series",3401
"quite",3400
"april",3395
"guys",3349
"words",3337
"instead",3333
"given",3328
"service",3310
"seems",3300
"cut",3296
"court",3285
"playing",3273
"mean",3268
"six",3243
"university",3242
"road",3240
"else",3225
"rather",3212
"south",3212
"project",3210
"list",3201
"important",3194
"across",3193
"john",3193
"experience",3180
"watch",3166
"summer",3162
"turn",3160
"saturday",3153
"looks",3152
"felt",3151
"store",3147
"ready",3141
"third",3141
"points",3140
"finally",3138
"future",3135
"knew",3117
"guy",3111
"beautiful",3103
"outside",3101
"close",3100
"they're",3096
"light",3095
"move",3093
"leave",3083
"bring",3080
"either",3078
"sometimes",3076
"members",3074
"system",3068
"stay",3063
"sunday",3063
"child",3055
"body",3042
"report",3039
"mr",3038
"movie",3037
"needs",3036
"pay",3033
"men",3026
"hear",3022
"question",3019
"decided",3014
"red",2992
"college",2986
"mother",2981
"art",2975
"federal",2975
"wasn't",2971
"running",2959
"late",2957
"tomorrow",2954
"reason",2953
"york",2953
"matter",2951
"miss",2947
"favorite",2944
"reading",2939
"easy",2937
"history",2937
"didn’t",2933
"ask",2913
"following",2913
"amazing",2907
"lead",2906
"thursday",2902
"means",2901
"beer",2897
"forward",2889
"cool",2884
"phone",2884
"especially",2881
"living",2880
"played",2880
"district",2878
"market",2872
"hand",2863
"taken",2860
"death",2859
"gave",2846
"moment",2845
"problem",2827
"i’ve",2822
"word",2821
"bill",2820
"watching",2820
"final",2818
"deal",2812
"san",2808
"tax",2802
"near",2796
"feeling",2788
"front",2787
"buy",2785
"green",2776
"north",2775
"perfect",2772
"isn't",2771
"although",2770
"ohio",2763
"needed",2754
"short",2750
"within",2749
"baby",2745
"rest",2744
"twitter",2744
"possible",2734
"general",2733
"parents",2733
"visit",2731
"began",2719
"thinking",2716
"social",2712
"order",2710
"added",2705
"process",2705
"film",2690
"event",2689
"heard",2688
"online",2688
"wrong",2679
"video",2671
"strong",2666
"west",2664
"woman",2664
"lives",2658
"awesome",2654
"among",2649
"worked",2646
"fall",2645
"that’s",2632
"issue",2630
"space",2627
"single",2621
"d",2616
"tried",2613
"gets",2610
"above",2606
"i'd",2593
"starting",2592
"pick",2578
"town",2578
"chance",2572
"goes",2566
"wish",2566
"club",2564
"nearly",2563
"create",2560
"eyes",2555
"excited",2554
"wonderful",2552
"looked",2549
"paper",2547
"wants",2537
"stuff",2529
"hey",2528
"card",2521
"states",2520
"fire",2519
"hot",2519
"meeting",2519
"picture",2518
"hour",2507
"building",2503
"coach",2499
"enjoy",2492
"won't",2492
"recent",2491
"understand",2490
"level",2486
"talking",2483
"shot",2476
"write",2465
"per",2463
"works",2463
"recently",2458
"turned",2458
"expected",2451
"eat",2448
"clear",2442
"record",2442
"takes",2441
"inside",2439
"players",2436
"tuesday",2436
"schools",2433
"known",2427
"worth",2423
"march",2411
"age",2406
"human",2386
"media",2381
"father",2373
"sweet",2373
"meet",2370
"medical",2364
"spent",2354
"plans",2353
"wife",2350
"available",2349
"economic",2349
"mom",2349
"earlier",2348
"interesting",2341
"happen",2339
"learn",2338
"loved",2332
"email",2328
"received",2320
"sense",2310
"jobs",2300
"education",2296
"shows",2290
"based",2288
"simple",2281
"services",2279
"himself",2274
"political",2273
"director",2272
"challenge",2269
"birthday",2265
"seven",2261
"son",2260
"companies",2259
"church",2247
"department",2243
"im",2242
"boy",2238
"field",2238
"walk",2236
"break",2234
"budget",2229
"happened",2229
"major",2229
"provide",2226
"wednesday",2223
"won",2217
"cost",2216
"yeah",2211
"cleveland",2204
"can’t",2202
"hold",2201
"hair",2194
"spring",2194
"oil",2189
"fans",2188
"guess",2181
"gone",2180
"questions",2177
"definitely",2176
"held",2175
"perhaps",2172
"loss",2164
"energy",2161
"tv",2161
"w",2161
"dinner",2160
"chief",2155
"include",2153
"seem",2153
"song",2152
"answer",2150
"yourself",2148
"likely",2140
"war",2131
"air",2129
"staff",2129
"simply",2119
"drive",2117
"character",2116
"member",2113
"giving",2111
"career",2109
"wrote",2108
"christmas",2106
"girls",2105
"longer",2105
"moving",2102
"yearold",2102
"sorry",2097
"race",2087
"she's",2083
"issues",2082
"door",2079
"dr",2079
"feet",2065
"cannot",2061
"themselves",2060
"conference",2056
"finished",2054
"bed",2053
"price",2053
"control",2052
"hate",2052
"personal",2047
"current",2046
"sleep",2044
"goal",2043
"despite",2042
"brown",2041
"usually",2039
"spend",2035
"waiting",2034
"ones",2031
"yesterday",2031
"cause",2028
"became",2025
"mark",2021
"continue",2019
"council",2019
"billion",2014
"stories",2011
"act",2008
"amount",2008
"david",2005
"haha",2003
"sent",2000
"wine",1999
"main",1993
"coffee",1992
"itself",1988
"message",1988
"met",1987
"due",1985
"similar",1985
"lots",1978
"daughter",1971
"research",1970
"form",1968
"cover",1966
"ok",1959
"role",1959
"further",1958
"washington",1957
"led",1950
"offer",1950
"seeing",1950
"success",1949
"dead",1945
"dark",1943
"details",1939
"huge",1933
"entire",1929
"fine",1929
"blue",1927
"example",1919
"sound",1919
"brought",1918
"gonna",1918
"ways",1910
"whose",1908
"sports",1907
"allow",1906
"football",1902
"campaign",1895
"return",1894
"whatever",1889
"piece",1888
"site",1886
"middle",1885
"we've",1885
"hands",1882
"residents",1879
"teams",1872
"fresh",1869
"sun",1865
"what's",1864
"moved",1863
"certainly",1861
"action",1860
"land",1859
"california",1856
"page",1854
"average",1849
"obama",1845
"united",1843
"website",1842
"haven't",1841
"cold",1840
"bar",1836
"helped",1834
"leaving",1833
"doesn’t",1829
"industry",1822
"private",1822
"begin",1821
"difficult",1819
"international",1816
"higher",1815
"louis",1815
"reported",1815
"position",1814
"knows",1811
"couldn't",1808
"problems",1804
"rock",1803
"band",1799
"crazy",1790
"facebook",1784
"view",1783
"financial",1782
"photo",1782
"development",1779
"plus",1778
"interest",1777
"republican",1777
"press",1775
"events",1774
"paid",1774
"pass",1773
"save",1770
"projects",1769
"legal",1766
"round",1765
"opportunity",1764
"sister",1764
"learning",1762
"lunch",1762
"heat",1761
"practice",1760
"decision",1759
"fourth",1759
"result",1755
"b",1753
"opening",1753
"busy",1752
"focus",1750
"judge",1750
"trip",1750
"certain",1746
"died",1746
"jesus",1746
"afternoon",1744
"league",1743
"learned",1743
"america",1740
"ideas",1739
"society",1738
"low",1736
"upon",1733
"dog",1732
"oregon",1730
"alone",1729
"stand",1729
"wonder",1729
"floor",1727
"date",1724
"design",1719
"choice",1718
"technology",1715
"written",1712
"chicken",1707
"you’re",1704
"send",1702
"deep",1701
"total",1700
"training",1700
"consider",1693
"type",1684
"sign",1681
"“",1676
"“i",1676
"color",1669
"cup",1669
"wall",1669
"weather",1667
"quickly",1665
"let's",1664
"statement",1663
"style",1661
"table",1660
"voice",1660
"changes",1658
"june",1658
"beginning",1657
"portland",1656
"vote",1656
"track",1653
"join",1652
"ball",1651
"boys",1651
"sit",1651
"double",1650
"minute",1649
"funny",1648
"chocolate",1646
"east",1644
"rate",1644
"created",1640
"beat",1639
"la",1639
"complete",1637
"employees",1633
"chicago",1631
"kept",1631
"anyway",1630
"quarter",1629
"fast",1625
"forget",1625
"box",1620
"sitting",1619
"sort",1619
"fell",1617
"gift",1617
"extra",1612
"fight",1609
"effort",1608
"popular",1607
"central",1605
"ability",1604
"toward",1604
"reports",1603
"involved",1601
"quality",1601
"spending",1597
"welcome",1596
"stage",1595
"paul",1594
"bought",1593
"figure",1593
"shit",1593
"fan",1590
"c",1589
"travel",1589
"eating",1587
"texas",1587
"whom",1587
"james",1585
"value",1582
"river",1581
"jersey",1580
"�",1578
"safety",1576
"products",1575
"attention",1571
"gives",1571
"pain",1570
"completely",1568
"star",1568
"“the",1565
"player",1565
"step",1562
"eight",1561
"beach",1560
"hurt",1559
"cream",1556
"bottom",1555
"taste",1554
"served",1552
"build",1551
"he’s",1550
"executive",1549
"below",1548
"ended",1548
"note",1548
"various",1547
"changed",1546
"evening",1545
"hospital",1545
"straight",1542
"glad",1541
"released",1535
"relationship",1533
"restaurant",1528
"runs",1528
"student",1528
"born",1526
"ground",1526
"exactly",1525
"smith",1525
"tour",1525
"pictures",1524
"dance",1523
"key",1523
"passed",1519
"trust",1518
"data",1516
"choose",1515
"rights",1512
"daily",1511
"defense",1508
"eye",1508
"release",1507
"security",1507
"super",1505
"finish",1504
"period",1504
"bowl",1502
"sounds",1502
"ahead",1501
"shop",1500
"size",1500
"test",1500
"includes",1499
"scene",1499
"truth",1496
"followed",1495
"husband",1495
"senior",1495
"onto",1494
"blood",1493
"comment",1493
"miles",1493
"telling",1482
"military",1479
"kitchen",1478
"numbers",1478
"teacher",1475
"rain",1472
"items",1470
"manager",1470
"fear",1468
"hall",1464
"results",1464
"library",1462
"present",1462
"address",1461
"beyond",1461
"tough",1461
"lake",1460
"title",1460
"original",1457
"situation",1452
"dream",1451
"study",1450
"goals",1448
"parts",1447
"photos",1445
"you'll",1443
"allowed",1440
"evidence",1439
"driving",1438
"sales",1437
"article",1436
"okay",1435
"p",1435
"included",1434
"version",1432
"tweet",1425
"marriage",1423
"there’s",1422
"wearing",1421
"grow",1420
"recipe",1420
"seemed",1420
"session",1420
"we'll",1418
"serious",1417
"ice",1415
"spot",1412
"common",1411
"natural",1411
"michael",1410
"starts",1410
"hell",1409
"particularly",1408
"approach",1407
"costs",1407
"mix",1407
"missed",1406
"comments",1403
"teachers",1402
"attorney",1401
"reach",1399
"named",1398
"kid",1397
"mostly",1393
"base",1392
"poor",1391
"sat",1391
"expect",1390
"x",1389
"drop",1387
"throughout",1387
"lines",1386
"sex",1386
"apparently",1385
"ran",1384
"workers",1384
"internet",1378
"via",1378
"positive",1377
"winter",1376
"offers",1375
"production",1369
"feels",1368
"difference",1364
"families",1363
"seriously",1362
"brother",1361
"increase",1361
"rose",1357
"lovely",1356
"nature",1356
"sugar",1356
"g",1355
"sell",1354
"garden",1352
"wouldn't",1352
"asking",1350
"collection",1350
"mine",1348
"officer",1348
"contract",1347
"plays",1346
"valley",1344
"finding",1343
"chris",1341
"wasn’t",1341
"enjoyed",1340
"truly",1339
"customers",1337
"walked",1337
"rules",1336
"meant",1335
"policy",1335
"hearing",1333
"wear",1332
"walking",1329
"investigation",1327
"growing",1325
"response",1325
"proud",1323
"economy",1322
"�",1320
"effect",1319
"interested",1319
"nine",1317
"wow",1317
"committee",1315
"cute",1315
"product",1315
"fit",1314
"worse",1314
"sad",1311
"characters",1309
"image",1309
"english",1306
"lord",1306
"isn’t",1305
"luck",1304
"access",1303
"aren't",1302
"author",1302
"dad",1302
"tired",1301
"association",1297
"killed",1297
"previous",1297
"healthy",1295
"places",1295
"touch",1295
"ya",1295
"majority",1294
"happens",1291
"lose",1291
"annual",1289
"caught",1287
"performance",1287
"doubt",1286
"records",1286
"considered",1285
"groups",1285
"homes",1285
"eventually",1284
"lower",1284
"bank",1282
"review",1282
"speak",1282
"listen",1280
"e",1279
"leaders",1277
"king",1276
"grew",1275
"rich",1275
"totally",1275
"closed",1273
"cheese",1272
"raised",1269
"die",1267
"etc",1264
"leader",1264
"stopped",1264
"bag",1263
"skin",1262
"de",1260
"serve",1260
"drink",1259
"none",1258
"owner",1258
"pieces",1257
"foot",1256
"n",1256
"salt",1256
"you've",1256
"growth",1253
"charges",1251
"draft",1248
"earth",1248
"force",1246
