"WORD","FREQ"
"the",523866
"to",284253
"and",269324
"a",250871
"of",225114
"in",174224
"i",152331
"that",111621
"for",109082
"is",108866
"it",90867
"on",81826
"you",76657
"with",76035
"was",70100
"at",58460
"this",56675
"my",54514
"as",54263
"have",53754
"be",53561
"but",50626
"are",48928
"he",48851
"from",41604
"we",41489
"not",41077
"by",36413
"so",36123
"said",35355
"they",35327
"or",33901
"his",33566
"an",32616
"all",32327
"will",31156
"me",30446
"about",30196
"one",29566
"out",28794
"up",28723
"has",27916
"just",27323
"when",26622
"who",26548
"had",25917
"if",25875
"what",25792
"your",25567
"more",25357
"like",24413
"can",24088
"her",24022
"their",22526
"would",22286
"there",22012
"do",21553
"she",21042
"time",21023
"some",20803
"been",20146
"were",20056
"get",19574
"our",19373
"no",19345
"new",19015
"them",17158
"which",16895
"people",16794
"now",16701
"how",15921
"than",15389
"it's",15199
"good",15024
"also",14960
"day",14846
"us",14822
"into",14683
"first",14406
"other",14225
"after",14069
"know",14024
"then",13359
"i'm",13288
"back",13265
"see",13135
"him",13101
"make",13085
"two",12934
"only",12913
"year",12907
"its",12888
"over",12707
"could",12706
"because",12633
"last",12602
"love",12158
"even",12089
"think",11981
"go",11934
"am",11491
"much",11370
"going",11314
"way",11273
"years",11186
"really",10712
"most",10596
"well",10499
"don't",10389
"work",10288
"where",10272
"many",10139
"too",9939
"here",9904
"want",9858
"those",9761
"did",9744
"still",9684
"any",9625
"great",9512
"got",9496
"these",9222
"off",9177
"very",9162
"before",9145
"being",9089
"right",9042
"made",8880
"little",8810
"down",8777
"while",8707
"home",8612
"need",8592
"may",8519
"say",8473
"life",8333
"through",8278
"take",8224
"today",8153
"state",7889
"things",7751
"school",7726
"next",7671
"should",7543
"never",7385
"–",7374
"around",7317
"come",7302
"another",7292
"something",7072
"best",7046
"every",6967
"week",6931
"long",6789
"three",6742
"why",6546
"few",6537
"since",6494
"world",6493
"night",6455
"always",6434
"city",6345
"own",6319
"such",6186
"it’s",6122
"look",6110
"place",6067
"use",5831
"says",5783
"that's",5773
"man",5737
"again",5721
"better",5717
"thanks",5692
"find",5688
"same",5687
"each",5633
"thing",5543
"does",5526
"game",5518
"until",5472
"part",5428
"show",5424
"help",5413
"feel",5388
"house",5372
"lot",5363
"days",5339
"big",5314
"keep",5177
"end",5169
"both",5110
"—",5030
"though",5017
"sure",5016
"found",5004
"family",5001
"might",4954
"give",4942
"put",4910
"used",4882
"million",4829
"getting",4817
"thought",4788
"start",4746
"book",4742
"ever",4733
"happy",4731
"season",4728
"old",4710
"team",4700
"can't",4669
"high",4636
"pm",4591
"against",4509
"went",4500
"under",4492
"during",4487
"percent",4465
"doing",4451
"without",4429
"hope",4415
"didn't",4390
"away",4385
"let",4369
"play",4351
"county",4328
"rt",4306
"i've",4305
"top",4290
"second",4253
"enough",4252
"between",4240
"left",4229
"times",4229
"don’t",4219
"money",4210
"looking",4201
"told",4145
"public",4142
"least",4125
"done",4113
"different",4091
"i’m",4070
"having",4064
"already",4047
"friends",4034
"business",3988
"st",3982
"u",3976
"point",3965
"free",3964
"god",3946
"someone",3924
"read",3920
"making",3891
"came",3880
"set",3867
"hard",3862
"yet",3860
"story",3832
"room",3820
"children",3806
"company",3803
"tell",3781
"food",3769
"took",3755
"called",3739
"real",3731
"once",3724
"actually",3703
"must",3703
"th",3695
"pretty",3694
"morning",3689
"live",3668
"makes",3645
"course",3642
"wanted",3640
"four",3631
"according",3629
"police",3627
"everyone",3624
"lol",3618
"try",3597
"trying",3572
"far",3563
"call",3560
"you're",3538
"head",3524
"started",3498
"everything",3497
"anything",3496
"run",3480
"job",3475
"fun",3431
"past",3384
"including",3364
"nothing",3356
"open",3347
"bad",3337
"along",3327
"able",3317
"working",3311
"hit",3305
"bit",3291
"kind",3278
"others",3276
"line",3275
