"ngrams","freq","last"
"one of ",2523,"the"
"a lot ",2119,"of"
"going to ",1100,"be"
"to be ",1086,"a"
"some of ",990,"the"
"part of ",969,"the"
"as well ",962,"as"
"out of ",900,"the"
"it was ",852,"a"
"the end ",842,"of"
"i want ",819,"to"
"be able ",788,"to"
"a couple ",765,"of"
"the first ",763,"time"
"thanks for ",730,"the"
"the rest ",728,"of"
"according to ",715,"the"
"this is ",637,"the"
"is going ",631,"to"
"i have ",631,"a"
"one of ",620,"my"
"i have ",618,"to"
"there is ",607,"a"
"for the ",604,"first"
"in front ",603,"of"
"it is ",587,"a"
"end of ",582,"the"
"the fact ",575,"that"
"to have ",573,"a"
"it would ",552,"be"
"of the ",536,"day"
"are going ",535,"to"
"most of ",531,"the"
"you have ",529,"to"
"there is ",520,"no"
"more than ",515,"a"
"the united ",515,"states"
"it is ",510,"the"
"this is ",509,"a"
"in the ",494,"world"
"in order ",477,"to"
"is one ",477,"of"
"to do ",470,"with"
"of the ",460,"year"
"to be ",454,"the"
"all of ",448,"the"
"i wanted ",447,"to"
"i had ",443,"a"
"i have ",443,"been"
"thank you ",436,"for"
"at the ",431,"end"
"when i ",429,"was"
"you want ",425,"to"
"i need ",423,"to"
"in the ",422,"first"
"in new ",422,"york"
"i dont ",417,"know"
"a bit ",415,"of"
"you have ",412,"a"
"rest of ",412,"the"
"if you ",405,"are"
"there was ",401,"a"
"the same ",401,"time"
"that it ",397,"is"
"a chance ",394,"to"
"at the ",393,"same"
"of the ",393,"most"
"looking forward ",388,"to"
"to make ",386,"a"
"to go ",379,"to"
"of the ",375,"best"
"and in ",375,"the"
"a number ",375,"of"
"in the ",374,"past"
"i had ",374,"to"
"it will ",373,"be"
"want to ",373,"be"
"was going ",373,"to"
"said he ",372,"was"
"to get ",369,"a"
"it was ",365,"the"
"i will ",363,"be"
"i dont ",363,"think"
"is in ",362,"the"
"a little ",362,"more"
"at the ",356,"time"
"is not ",356,"a"
"in the ",352,"middle"
"as a ",351,"result"
"i think ",345,"i"
"will be ",345,"a"
"i am ",345,"not"
"director of ",344,"the"
"it is ",343,"not"
"front of ",341,"the"
"to make ",339,"the"
"dont want ",337,"to"
"is expected ",333,"to"
"all the ",333,"time"
"we need ",330,"to"
"that i ",328,"have"
"as much ",326,"as"
"back to ",323,"the"
"to see ",322,"the"
"i was ",321,"a"
"we have ",320,"a"
"im going ",319,"to"
"we have ",317,"to"
"of the ",316,"world"
"was one ",316,"of"
"there will ",312,"be"
"to take ",312,"a"
"said in ",312,"a"
"would be ",311,"a"
"cant wait ",311,"to"
"if you ",307,"have"
"would have ",307,"been"
"but it ",307,"was"
"to try ",307,"to"
"but it ",302,"is"
"would like ",301,"to"
"percent of ",300,"the"
"i love ",300,"you"
"because of ",299,"the"
"by the ",298,"time"
"to get ",296,"the"
"if you ",294,"want"
"that it ",291,"was"
"and i ",291,"have"
"the middle ",291,"of"
"many of ",289,"the"
"is the ",288,"best"
"up in ",286,"the"
"in the ",282,"same"
"to make ",280,"it"
"a little ",277,"bit"
"the lack ",277,"of"
"will be ",277,"the"
"to take ",276,"the"
"the new ",274,"york"
"its going ",271,"to"
"not going ",269,"to"
"you need ",268,"to"
"and i ",268,"am"
"in the ",267,"future"
"on the ",267,"other"
"side of ",266,"the"
"to see ",265,"if"
"one of ",265,"those"
"has been ",264,"a"
"i decided ",263,"to"
"at this ",263,"point"
"a series ",261,"of"
"as far ",260,"as"
"need to ",258,"be"
"i have ",258,"no"
"go to ",256,"the"
"of the ",256,"new"
"that i ",254,"was"
"the department ",254,"of"
"the number ",252,"of"
"a result ",252,"of"
"have to ",252,"do"
"have a ",251,"great"
"away from ",251,"the"
"he did ",251,"not"
"have to ",248,"be"
"will have ",247,"to"
"and it ",246,"was"
"a long ",246,"time"
"i went ",245,"to"
"on the ",244,"floor"
"i love ",244,"the"
"of the ",244,"house"
"as part ",243,"of"
"the university ",242,"of"
"for the ",242,"follow"
"top of ",241,"the"
"in addition ",240,"to"
"in my ",238,"life"
"it in ",237,"the"
"going to ",237,"get"
"in the ",235,"last"
"the opportunity ",235,"to"
"look forward ",235,"to"
"i am ",235,"a"
"a bunch ",234,"of"
"at a ",233,"time"
"in the ",233,"end"
"for me ",232,"to"
"for at ",232,"least"
"and i ",230,"was"
"and of ",229,"course"
"there are ",229,"a"
"in other ",229,"words"
"the white ",229,"house"
"a variety ",228,"of"
"when it ",227,"comes"
"up with ",227,"a"
"as soon ",226,"as"
"was the ",225,"first"
"and i ",225,"think"
"look at ",224,"the"
"i hope ",224,"you"
"a way ",223,"to"
"the only ",222,"one"
"he said ",222,"he"
"to do ",222,"it"
"the st ",221,"louis"
"i think ",220,"it"
"i wish ",220,"i"
"i know ",220,"i"
"little more ",220,"than"
"let me ",219,"know"
"the bottom ",219,"of"
"i feel ",218,"like"
"i am ",218,"so"
"a sense ",215,"of"
"that is ",215,"the"
"on the ",215,"ground"
"to say ",214,"that"
"of the ",214,"time"
"being able ",214,"to"
"over the ",213,"last"
"of the ",213,"way"
"to find ",213,"out"
"it comes ",212,"to"
"is that ",212,"the"
"in the ",212,"playoffs"
"to figure ",210,"out"
